wordcount
essay_id	wordcount
13357	160
13356	132
21094	789
13359	101
11875	141
13358	70
5988	176
5989	96
19398	74
5982	133
5983	74
5980	96
5981	89
5986	92
5987	151
5984	43
5985	111
15267	218
18516	80
21092	709
18441	44
6796	36
6797	64
6794	69
6795	62
6792	112
6793	47
6790	96
6791	156
21091	259
6798	178
6799	50
21090	383
270	390
271	322
272	512
273	295
274	386
275	392
276	265
277	419
278	301
279	435
16259	228
16258	87
12019	129
12018	246
12015	97
12014	152
12017	63
12016	343
12011	169
12010	118
12013	65
12012	143
15369	164
15950	130
15953	78
15952	187
9528	23
9529	89
9258	149
9259	77
9256	117
9257	183
9254	144
9255	211
9252	48
9253	49
9250	46
9251	139
21619	4
15957	190
20806	584
18517	288
21617	712
15956	164
21611	853
21610	852
21613	760
19397	124
1373	318
19396	201
20800	568
19395	501
19394	103
19393	59
19392	143
19391	121
21076	725
19390	78
3519	566
3518	386
3513	332
3512	468
3511	372
3510	283
3517	102
3516	578
3515	287
3514	430
13319	164
16233	100
13440	100
15362	80
99	348
98	411
91	232
90	229
93	539
92	651
95	462
94	313
97	294
96	230
15363	59
18514	99
13058	99
13059	88
13052	198
13053	127
13050	162
13051	270
13056	175
13057	157
13054	155
13055	100
18703	154
18702	225
18701	194
15360	192
18707	193
18706	220
18705	222
18704	117
18709	326
18708	172
15249	239
21479	572
18432	124
15361	132
16237	157
21478	764
15366	133
1177	197
1176	433
1175	521
1174	318
1173	336
1172	251
1171	785
1170	643
1179	365
1178	425
16236	76
15367	160
18329	222
7188	156
876	301
877	490
7180	56
7181	211
7182	139
7183	256
7184	155
7185	171
7186	213
7187	151
623	187
875	636
622	266
872	266
1225	376
3435	281
12833	98
12832	145
12831	242
620	192
12837	142
870	410
12835	105
12834	209
15285	237
627	258
12839	148
871	478
15281	145
15280	151
15283	132
626	251
7456	266
7457	56
7454	137
7455	129
7452	89
625	451
7450	99
7451	25
624	293
7458	62
7459	64
19335	184
13469	66
13603	28
13602	134
13601	100
13600	97
16375	190
13607	211
13468	60
13606	140
15007	176
13605	126
15006	175
13604	93
15005	119
15004	268
15003	119
13609	129
15002	129
13608	81
15001	180
21471	851
15000	264
393	306
392	381
391	532
390	420
397	550
396	353
395	170
394	164
399	423
398	416
4729	506
4728	403
4725	421
4724	337
4727	367
4726	622
4721	514
4720	654
4723	635
4722	190
16064	117
16065	191
16066	136
16067	161
16060	127
12250	76
16062	181
16063	64
15008	193
16068	197
16069	70
21473	530
3748	360
3749	339
3746	593
3747	289
3744	309
3745	214
3742	516
3743	326
3740	606
3741	90
4620	446
4621	347
4622	90
4623	389
4624	610
4625	336
4626	367
4627	349
4628	134
4629	673
21472	838
10467	206
16392	150
16393	232
16390	339
13463	245
16396	90
16397	137
16394	77
16395	168
19274	133
16398	307
16399	184
20887	491
21475	437
20733	562
20732	815
20735	135
20734	783
20737	529
20736	730
20739	737
12242	241
10461	89
20889	532
20888	706
13462	190
16436	210
179	275
178	268
177	326
176	381
175	330
174	349
173	256
172	255
171	322
170	335
21271	329
12243	167
20792	287
21280	885
21281	493
10513	70
21287	791
21284	604
21285	720
21288	699
10469	38
10390	49
10391	37
10392	152
10393	20
10394	20
10395	116
10396	125
10397	256
10398	58
10399	93
7218	161
7219	104
13545	103
7210	102
7211	86
7212	227
7213	108
7214	111
7215	194
7216	122
7217	170
6217	42
6216	164
6215	58
6214	85
6213	51
6212	129
6211	81
6210	121
13540	177
6219	147
6218	108
6819	52
6818	160
13542	111
15878	54
15879	221
6811	220
6810	142
6813	87
6812	66
6815	169
6814	99
6817	86
6816	162
9757	63
9756	10
9755	243
9754	128
9753	100
9752	60
9751	107
9750	98
10574	112
10575	86
10576	89
10577	68
10570	120
10571	134
9759	56
9758	143
18934	106
18538	174
18936	152
18937	54
18930	55
18931	50
18932	126
18539	79
13548	114
18938	265
18939	110
21428	408
13549	146
12666	91
21192	612
11849	134
11848	177
7669	157
7668	113
12667	107
7661	96
7660	114
7663	150
7662	143
7665	91
7664	125
7667	99
7666	130
11844	158
18534	179
11842	144
1768	471
1769	286
12664	32
1762	337
1763	475
1760	550
1761	367
1766	360
1767	413
1764	405
1765	100
18646	155
18647	129
13309	86
19037	140
15028	89
18643	174
692	171
693	324
690	365
691	176
696	258
697	342
694	327
695	375
698	238
699	774
16504	85
1548	250
1549	137
15161	187
15163	111
16503	454
19035	158
15167	190
10043	166
13304	137
19032	63
12660	95
12749	182
19033	141
10253	57
12661	86
21195	569
12748	98
17928	172
19195	263
19030	371
10252	13
9524	55
9525	151
9526	49
19194	156
9527	145
9520	56
9521	71
9522	93
9523	108
13300	136
6778	79
6779	177
6774	72
6775	110
6776	56
6777	81
6770	155
6771	134
6772	138
6773	87
9964	150
9965	90
9966	62
9967	237
9960	100
9961	116
9962	103
9963	150
9968	137
9969	118
21618	723
16252	143
16239	153
16238	49
258	524
259	430
252	408
253	221
250	309
251	556
256	283
257	429
254	574
255	328
12039	88
12038	121
16251	214
12033	152
12032	88
12031	161
12030	119
12037	120
12036	98
12035	68
12034	164
18581	209
9508	140
9509	80
16250	166
9502	71
9503	80
9500	116
9501	112
9506	86
9507	133
9504	86
9505	151
21633	468
21409	854
